Dn,PrCode ,Product Description           ,Unit ,OBQty  ,OBVal    ,RcptQty,RcptVal  ,CBQty  ,CBVal    ,AdjQty ,SaleQty,SaleVal
00,0015208,ROST 5 Tabs 10s               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015210,ROST F Tabs 10s               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015071,SECNIA CAPS 10s               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015085,SILERO 1s FILM                ,1s   ,    50 ,     350 ,     0,       0,    50 ,     350 ,     0 ,     0,       0
00,0015113,TAMTERO (TAMOXIFEN TAB)       ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015018,TOLYB TAB                     ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015063,TULOMAX 0.5 PATCHES           ,1s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015064,TULOMAX 1mg PATCHES           ,1s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015065,TULOMAX 2mg PATCHES           ,1s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015035,UNIWIN 500mg TABS             ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015082,VEIL 2MG CAP                  ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015059,VETIRA 500mg TAB              ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015118,VETORY P TABS                 ,10s  ,    34 ,     918 ,     0,       0,    27 ,     729 ,     0 ,     7,     189
00,0015231,VIKLOT 10 TAB                 ,8s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015232,VIKLOT 15 TAB                 ,8s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015233,VIKLOT 20 TAB                 ,8s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015175,ZINFORT SYP 50ml              ,50ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015042,ZINVITA TAB                   ,30s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015200,xLEVOCT M SYRUP 60ML          ,60ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
00,0015200,*                             ,*    ,   900 ,  115454 ,  1609,  240793,  1161 ,  179046 ,     5 ,  1343,  176624
01,0015267,36D CAPS 4s                   ,4s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015141,ALFAPSIN D TABS               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015093,ENUFF 10 SACHET 1gm           ,1gm  ,    60 ,     600 ,     0,       0,    46 ,     460 ,     0 ,    14,     140
01,0015094,ENUFF 100mg CAPS              ,10s  ,    18 ,    2088 ,     0,       0,     0 ,       0 ,     0 ,    18,    2088
01,0015095,ENUFF 30 SACHET 3gm       LYKA,3gm  ,    50 ,     600 ,     0,       0,    50 ,     600 ,    10 ,     0,       0
01,0015120,ENUFF XTRA 1gm SACHET         ,1gm  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015153,ENUFF- 10 DT TABS             ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015154,ENUFF- 30 DT TABS             ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015096,ENUFF-15 SACHETS              ,1.5gm,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015265,ETORO 90 SOFTGEL              ,10s  ,     7 ,     623 ,     0,       0,     0 ,       0 ,     0 ,     7,     623
01,0015266,ETORO TH SOFTGELS 10s         ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015195,FIXAR TABS                    ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015021,FLUVIR 75 CAPS                ,10s  ,    86 ,   31218 ,   120,   43560,   143 ,   51909 ,     1 ,    62,   22506
01,0015037,FLUVIR SUSP 75ml              ,75ml ,   185 ,   71040 ,     0,       0,   169 ,   64896 ,     0 ,    16,    6144
01,0015041,FX 24 SUSP 60ml               ,60ml ,     5 ,     260 ,     0,       0,     5 ,     260 ,     0 ,     0,       0
01,0015158,HI -MOM TABS                  ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
