JYOTI MEDICAL HALL
OPP,SAI KIRAN APTS,NEAR SBI WALKER TOWN
6-1-279/5 PADMARAO NAGAR
SECUNDERABAD-500025
 
Stock and Sales report for ,HETERO HEALTHCARE LTD.(KRIS).
between, '01-May-2026,and,'31-May-2026
Product Name,Packing,Opening Qty,Purchase Qty,Total,Sales Qty,EDB,Closing Qty
DA SUTRA 30X        ,4S     , 105,   0, 105,  10,   0,  95
PENVIR 250MG TAB.   ,6 S    ,  10,   0,  10,   0,   0,  10
PENVIR 500MG TAB.   ,3 S    ,   8,   0,   8,   8,   0,   0
Opening: ,   7230.84,Purchases:,      0.00,Sales,   1969.24,Closing,   5261.60
Powered by MetaLinks
