Dn,PrCode ,Product Description           ,Unit ,OBQty  ,OBVal    ,RcptQty,RcptVal  ,CBQty  ,CBVal    ,AdjQty ,SaleQty,SaleVal
01,0079004,OPOX 50 DT TABS               ,10s  ,     8 ,     400 ,     0,       0,     8 ,     400 ,     0 ,     0,       0
01,0079042,OPOX CV 100 DRY SYP           ,30ml ,    34 ,    4148 ,     0,       0,    34 ,    4148 ,     3 ,     0,       0
01,0079005,OPOX CV 100 TABS              ,10S  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0079006,OPOX CV 200 TABS              ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0079007,OPOX CV 50 DRY SYP            ,30ml ,     7 ,     588 ,     0,       0,     7 ,     588 ,     0 ,     0,       0
01,0079055,OPOX DROPS 10ml               ,10ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0079056,OPOX-CV 50 DT TABS            ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0079008,PANTIN 20 TABS                ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0079009,PANTIN 40 TABS                ,15s  ,     0 ,       0 ,   150,   11100,   150 ,   11100 ,     0 ,     0,       0
01,0079010,PANTIN D TABS                 ,10s  ,     0 ,       0 ,   150,   10050,   150 ,   10050 ,     1 ,     0,       0
01,0079011,PANTIN FR TABS                ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0079012,PANTIN IV INJ                 ,VIAL ,     0 ,       0 ,   350,   13300,     0 ,       0 ,     0 ,   350,   13300
01,0079077,PANTIN L CAPS                 ,10s  ,    38 ,    4028 ,     0,       0,    27 ,    2862 ,     0 ,    11,    1166
01,0079053,PANTIN RD TABS                ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0079071,PANTIN Z CAPS                 ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015004,RIFGEM 200 TABs               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015005,RIFGEM 400 TABs               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015006,RIFGEM 550 TABs               ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015029,RINASE NASAL RINSE 30x3gm     ,30x3g,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0015011,SERTABOR 2% LAMI TUBE         ,30gm ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0079080,TANZ TABS                     ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
01,0079081,VERTIGEN TABs                 ,10s  ,    29 ,    2030 ,     0,       0,    24 ,    1680 ,     0 ,     5,     350
01,0079081,*                             ,*    ,   202 ,   17991 ,   900,   40850,   593 ,   39831 ,     5 ,   509,   19010
02,0079030,C FURO 250 mg TABS            ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0079063,C FURO DRY SYP 30ml           ,30ml ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0079076,C-FURO 750mg INJ              ,vial ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0079050,C-FURO CV 375 TABS            ,6s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0079051,C-FURO CV 625 TABS            ,6s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0079015,ITCAN TABS                    ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0079060,PENVIR 250mg TABS             ,6s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0079013,PENVIR 500 TABS               ,3s   ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0079041,RABEZ -IT CAPS                ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0079014,RABEZ 20 TABS                 ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0015001,RABEZ D TABS                  ,15s  ,    38 ,    2888 ,     0,       0,    37 ,    2812 ,     0 ,     1,      76
02,0079002,RABEZ FR TABS                 ,10s  ,     0 ,       0 ,     0,       0,     0 ,       0 ,     0 ,     0,       0
02,0079002,*                             ,*    ,    38 ,    2888 ,     0,       0,    37 ,    2812 ,     0 ,     1,      76
02,0079002,**                            ,**   ,   240 ,   20879 ,   900,   40850,   630 ,   42643 ,     5 ,   510,   19086
